Branch,Category,Jee_Rank,Region,Round
Artificial Intelligence and Machine Learning,GEN,54991,D,1
Computer Science and Engineering,GEN,43373,D,1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,38241,D,1
Electronics and Communication Engineering,GEN,67411,D,1
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,64299,D,1
Information Technology,GEN,49735,D,1
Mechanical and Automation Engineering,GEN,83718,D,1
Architecture,GEN,1750,D,1
B.Tech Mechanical and Automation Engineering + MBA,GEN,88318,D,1
Artificial Intelligence and Machine Learning,GEN,14468,OD,1
Computer Science and Engineering,GEN,10672,OD,1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,12565,OD,1
Electronics and Communication Engineering,GEN,15166,OD,1
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,17427,OD,1
Information Technology,GEN,14551,OD,1
Mechanical and Automation Engineering,GEN,20933,OD,1
Architecture,GEN,695,OD,1
B.Tech Mechanical and Automation Engineering + MBA,GEN,21967,OD,1
Artificial Intelligence and Machine Learning,GEN,61499,D,2
Computer Science and Engineering,GEN,49691,D,2
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,42183,D,2
Electronics and Communication Engineering,GEN,75464,D,2
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,72485,D,2
Information Technology,GEN,58413,D,2
Mechanical and Automation Engineering,GEN,88728,D,2
Architecture,GEN,2850,D,2
B.Tech Mechanical and Automation Engineering + MBA,GEN,93113,D,2
Artificial Intelligence and Machine Learning,GEN,18488,OD,2
Computer Science and Engineering,GEN,15821,OD,2
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,17370,OD,2
Electronics and Communication Engineering,GEN,19843,OD,2
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,20211,OD,2
Information Technology,GEN,18312,OD,2
Mechanical and Automation Engineering,GEN,23458,OD,2
Architecture,GEN,931,OD,2
B.Tech Mechanical and Automation Engineering + MBA,GEN,25934,OD,2
Artificial Intelligence and Machine Learning,GEN,61499,D,3
Computer Science and Engineering,GEN,49691,D,3
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,42183,D,3
Electronics and Communication Engineering,GEN,75857,D,3
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,72485,D,3
Information Technology,GEN,58413,D,3
Mechanical and Automation Engineering,GEN,89132,D,3
Architecture,GEN,3184,D,3
B.Tech Mechanical and Automation Engineering + MBA,GEN,93113,D,3
Artificial Intelligence and Machine Learning,GEN,19797,OD,3
Computer Science and Engineering,GEN,17190,OD,3
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,18983,OD,3
Electronics and Communication Engineering,GEN,21627,OD,3
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,22719,OD,3
Information Technology,GEN,19387,OD,3
Mechanical and Automation Engineering,GEN,26029,OD,3
Architecture,GEN,893,OD,3
B.Tech Mechanical and Automation Engineering + MBA,GEN,24694,OD,3
Artificial Intelligence and Machine Learning,GEN,61499,D,4
Computer Science and Engineering,GEN,50123,D,4
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,42183,D,4
Electronics and Communication Engineering,GEN,78320,D,4
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,72485,D,4
Information Technology,GEN,58413,D,4
Mechanical and Automation Engineering,GEN,92082,D,4
Architecture,GEN,3621,D,4
B.Tech Mechanical and Automation Engineering + MBA,GEN,95800,D,4
Artificial Intelligence and Machine Learning,GEN,23402,OD,4
Computer Science and Engineering,GEN,18986,OD,4
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,19950,OD,4
Electronics and Communication Engineering,GEN,23745,OD,4
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,24797,OD,4
Information Technology,GEN,22722,OD,4
Mechanical and Automation Engineering,GEN,28000,OD,4
Architecture,GEN,1007,OD,4
B.Tech Mechanical and Automation Engineering + MBA,GEN,29210,OD,4
Artificial Intelligence and Machine Learning,GEN,71162,D,5
Computer Science and Engineering,GEN,58531,D,5
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,51288,D,5
Electronics and Communication Engineering,GEN,90900,D,5
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,85981,D,5
Information Technology,GEN,66326,D,5
Mechanical and Automation Engineering,GEN,103589,D,5
Architecture,GEN,4475,D,5
B.Tech Mechanical and Automation Engineering + MBA,GEN,106534,D,5
Artificial Intelligence and Machine Learning,GEN,25528,OD,5
Computer Science and Engineering,GEN,20788,OD,5
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,23413,OD,5
Electronics and Communication Engineering,GEN,25851,OD,5
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,26887,OD,5
Information Technology,GEN,24319,OD,5
Mechanical and Automation Engineering,GEN,30636,OD,5
Architecture,GEN,1514,OD,5
B.Tech Mechanical and Automation Engineering + MBA,GEN,31246,OD,5
Artificial Intelligence and Machine Learning,GEN,71502,D,U1
Computer Science and Engineering,GEN,58697,D,U1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,52095,D,U1
Electronics and Communication Engineering,GEN,93004,D,U1
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,86784,D,U1
Information Technology,GEN,67813,D,U1
Mechanical and Automation Engineering,GEN,106113,D,U1
Architecture,GEN,11920,D,U1
B.Tech Mechanical and Automation Engineering + MBA,GEN,-,D,U1
Artificial Intelligence and Machine Learning,GEN,31015,OD,U1
Computer Science and Engineering,GEN,25851,OD,U1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,26524,OD,U1
Electronics and Communication Engineering,GEN,30539,OD,U1
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,30124,OD,U1
Information Technology,GEN,-,OD,U1
Mechanical and Automation Engineering,GEN,-,OD,U1
Architecture,GEN,-,OD,U1
B.Tech Mechanical and Automation Engineering + MBA,GEN,-,OD,U1
Artificial Intelligence and Machine Learning,GEN,71502,D,S
Computer Science and Engineering,GEN,58697,D,S
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,52095,D,S
Electronics and Communication Engineering,GEN,93004,D,S
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,86784,D,S
Information Technology,GEN,67813,D,S
Mechanical and Automation Engineering,GEN,115503,D,S
Architecture,GEN,11920,D,S
B.Tech Mechanical and Automation Engineering + MBA,GEN,122612,D,S
Artificial Intelligence and Machine Learning,GEN,31015,OD,S
Computer Science and Engineering,GEN,25851,OD,S
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,26524,OD,S
Electronics and Communication Engineering,GEN,30539,OD,S
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,34363,OD,S
Information Technology,GEN,28644,OD,S
Mechanical and Automation Engineering,GEN,65193,OD,S
Architecture,GEN,893,OD,S
B.Tech Mechanical and Automation Engineering + MBA,GEN,83666,OD,S
Artificial Intelligence and Machine Learning,GEN,72709,D,something bad happened
Computer Science and Engineering,GEN,59506,D,something bad happened
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,53571,D,something bad happened
Electronics and Communication Engineering,GEN,94312,D,something bad happened
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,87886,D,something bad happened
Information Technology,GEN,70217,D,something bad happened
Mechanical and Automation Engineering,GEN,615394,D,something bad happened
Architecture,GEN,42602,D,something bad happened
B.Tech Mechanical and Automation Engineering + MBA,GEN,781806,D,something bad happened
Artificial Intelligence and Machine Learning,GEN,31015,OD,something bad happened
Computer Science and Engineering,GEN,26724,OD,something bad happened
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,26524,OD,something bad happened
Electronics and Communication Engineering,GEN,63799,OD,something bad happened
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,63565,OD,something bad happened
Information Technology,GEN,28644,OD,something bad happened
Mechanical and Automation Engineering,GEN,94055,OD,something bad happened
Architecture,GEN,893,OD,something bad happened
B.Tech Mechanical and Automation Engineering + MBA,GEN,440368,OD,something bad happened
Artificial Intelligence and Machine Learning,SpotRound-1,71502,D,something bad happened
Computer Science and Engineering,SpotRound-1,58697,D,something bad happened
Computer Science and Engineering with specialization in Artificial Intelligence,SpotRound-1,52095,D,something bad happened
Electronics and Communication Engineering,SpotRound-1,93004,D,something bad happened
Electronics and Communication Engineering with specialization in Artificial Intelligence,SpotRound-1,86784,D,something bad happened
Information Technology,SpotRound-1,67813,D,something bad happened
Mechanical and Automation Engineering,SpotRound-1,115503,D,something bad happened
Architecture,SpotRound-1,11920,D,something bad happened
B.Tech Mechanical and Automation Engineering + MBA,SpotRound-1,122612,D,something bad happened
Artificial Intelligence and Machine Learning,SpotRound-1,31015,OD,something bad happened
Computer Science and Engineering,SpotRound-1,25851,OD,something bad happened
Computer Science and Engineering with specialization in Artificial Intelligence,SpotRound-1,26524,OD,something bad happened
Electronics and Communication Engineering,SpotRound-1,30539,OD,something bad happened
Electronics and Communication Engineering with specialization in Artificial Intelligence,SpotRound-1,34363,OD,something bad happened
Information Technology,SpotRound-1,28644,OD,something bad happened
Mechanical and Automation Engineering,SpotRound-1,65193,OD,something bad happened
Architecture,SpotRound-1,893,OD,something bad happened
B.Tech Mechanical and Automation Engineering + MBA,SpotRound-1,83666,OD,something bad happened
Artificial Intelligence and Machine Learning,SpotRound-2,72709,D,something bad happened
Computer Science and Engineering,SpotRound-2,59506,D,something bad happened
Computer Science and Engineering with specialization in Artificial Intelligence,SpotRound-2,53571,D,something bad happened
Electronics and Communication Engineering,SpotRound-2,94312,D,something bad happened
Electronics and Communication Engineering with specialization in Artificial Intelligence,SpotRound-2,87886,D,something bad happened
Information Technology,SpotRound-2,70217,D,something bad happened
Mechanical and Automation Engineering,SpotRound-2,615394,D,something bad happened
Architecture,SpotRound-2,42602,D,something bad happened
B.Tech Mechanical and Automation Engineering + MBA,SpotRound-2,781806,D,something bad happened
Artificial Intelligence and Machine Learning,SpotRound-2,31015,OD,something bad happened
Computer Science and Engineering,SpotRound-2,26724,OD,something bad happened
Computer Science and Engineering with specialization in Artificial Intelligence,SpotRound-2,26524,OD,something bad happened
Electronics and Communication Engineering,SpotRound-2,63799,OD,something bad happened
Electronics and Communication Engineering with specialization in Artificial Intelligence,SpotRound-2,63565,OD,something bad happened
Information Technology,SpotRound-2,28644,OD,something bad happened
Mechanical and Automation Engineering,SpotRound-2,94055,OD,something bad happened
Architecture,SpotRound-2,893,OD,something bad happened
B.Tech Mechanical and Automation Engineering + MBA,SpotRound-2,440368,OD,something bad happened
Artificial Intelligence and Machine Learning,GEN-DEF,150495 (Priority VI),D,1
Computer Science and Engineering,GEN-DEF,116422 (Priority VI),D,1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-DEF,71076 (Priority VI),D,1
Electronics and Communication Engineering,GEN-DEF,180991 (Priority VI),D,1
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN-DEF,174828 (Priority VI),D,1
