Branch,Category,Jee_Rank,Region,Round
Civil Engineering,GEN,57526,D,1
Geoinformatics,GEN,61270,D,1
Mechanical Engineering with specialization in Electric Vehicles,GEN,49615,D,1
Architecture,GEN,1846,D,1
Civil Engineering,GEN,13678,OD,1
Geoinformatics,GEN,15028,OD,1
Mechanical Engineering with specialization in Electric Vehicles,GEN,12094,OD,1
Architecture,GEN,965,OD,1
Civil Engineering,GEN,74827,D,2
Geoinformatics,GEN,79373,D,2
Mechanical Engineering with specialization in Electric Vehicles,GEN,61698,D,2
Architecture,GEN,3770,D,2
Civil Engineering,GEN,18713,OD,2
Geoinformatics,GEN,20306,OD,2
Mechanical Engineering with specialization in Electric Vehicles,GEN,14745,OD,2
Architecture,GEN,1155,OD,2
Civil Engineering,GEN,84737,D,3
Geoinformatics,GEN,91535,D,3
Mechanical Engineering with specialization in Electric Vehicles,GEN,75264,D,3
Architecture,GEN,5748,D,3
Civil Engineering,GEN,21533,OD,3
Geoinformatics,GEN,23785,OD,3
Mechanical Engineering with specialization in Electric Vehicles,GEN,16629,OD,3
Architecture,GEN,1214,OD,3
Civil Engineering,GEN,113635,D,4
Geoinformatics,GEN,120679,D,4
Mechanical Engineering with specialization in Electric Vehicles,GEN,102885,D,4
Architecture,GEN,8411,D,4
Civil Engineering,GEN,23794,OD,4
Geoinformatics,GEN,27061,OD,4
Mechanical Engineering with specialization in Electric Vehicles,GEN,19654,OD,4
Architecture,GEN,2161,OD,4
Civil Engineering,GEN,102607,D,U1
Geoinformatics,GEN,-,D,U1
Mechanical Engineering with specialization in Electric Vehicles,GEN,143469,D,U1
Architecture,GEN,34387,D,U1
Civil Engineering,GEN,-,OD,U1
Geoinformatics,GEN,-,OD,U1
Mechanical Engineering with specialization in Electric Vehicles,GEN,-,OD,U1
Architecture,GEN,-,OD,U1
Civil Engineering,GEN,383670,D,S
Geoinformatics,GEN,240591,D,S
Mechanical Engineering with specialization in Electric Vehicles,GEN,828598,D,S
Architecture,GEN,34387,D,S
Civil Engineering,GEN,883435,OD,S
Geoinformatics,GEN,512935,OD,S
Mechanical Engineering with specialization in Electric Vehicles,GEN,287290,OD,S
Architecture,GEN,-,OD,S
Civil Engineering,GEN-DEF,195323 (Priority VI),D,1
Geoinformatics,GEN-DEF,195353,D,1
Mechanical Engineering with specialization in Electric Vehicles,GEN-DEF,134602,D,1
Architecture,GEN-DEF,22651,D,1
Civil Engineering,GEN-DEF,-,OD,1
Geoinformatics,GEN-DEF,-,OD,1
Mechanical Engineering with specialization in Electric Vehicles,GEN-DEF,-,OD,1
Architecture,GEN-DEF,-,OD,1
Civil Engineering,GEN-DEF,195323,D,2
Geoinformatics,GEN-DEF,195353,D,2
Mechanical Engineering with specialization in Electric Vehicles,GEN-DEF,151534,D,2
Architecture,GEN-DEF,6971,D,2
Civil Engineering,GEN-DEF,-,OD,2
Geoinformatics,GEN-DEF,-,OD,2
Mechanical Engineering with specialization in Electric Vehicles,GEN-DEF,-,OD,2
Architecture,GEN-DEF,-,OD,2
Civil Engineering,GEN-DEF,195323,D,3
Geoinformatics,GEN-DEF,195353,D,3
Mechanical Engineering with specialization in Electric Vehicles,GEN-DEF,151534,D,3
Architecture,GEN-DEF,-,D,3
Civil Engineering,GEN-DEF,-,OD,3
Geoinformatics,GEN-DEF,-,OD,3
Mechanical Engineering with specialization in Electric Vehicles,GEN-DEF,-,OD,3
Architecture,GEN-DEF,-,OD,3
Civil Engineering,GEN-DEF,258840 (Priority VI),D,4
Geoinformatics,GEN-DEF,195353,D,4
Mechanical Engineering with specialization in Electric Vehicles,GEN-DEF,156550,D,4
Architecture,GEN-DEF,-,D,4
